id,username,name,firstSurname,secondSurname,password,birthDate,country,team,height,weight
1,erik.player,Erik,Coruña,Rodríguez,prueba1,2004-04-22,España,,170,60.4
2,ander.player,Ander,Herrero,Pascual,prueba2,2004-01-20,España,2,196,76.2
3,iker.player,Iker,Larrinaga,Fortuna,prueba3,2004-02-18,España,3,175,65.7
4,hugo.player,Hugo,Rey,Insausti,prueba4,2004-03-16,España,4,171,63.3
5,unai.player,Unai,Aguilera,Irazabal,prueba5,1987-07-28,España,2,173,66.4
6,alex.player,Alex,Arandilla,Rochas,prueba6,2002-05-18,España,1,185,75.4
7,guillermo.player,Guillermo,Peralta,Martín,prueba7,2003-02-26,España,1,188,80.3
8,jon.player,Jon,Calleja,Castaños,prueba8,2000-09-23,España,2,169,62.2
9,markel.player,Markel,Gómez,Pérez,prueba9,1990-04-07,España,3,177,67.6
10,gaizka.player,Gaizka,Carrasco,Bastida,prueba10,1995-10-17,España,4,180,70.1
11,lucas.player,Lucas,Echeverría,Madariaga,prueba11,1999-11-03,España,2,184,72.4
12,iñaki.player,Iñaki,Etxegibel,Arcocha,prueba12,2005-12-02,España,1,172,63.8
13,david.player,David,Falcón,Ruiz,prueba13,2004-06-06,España,1,176,68.4
14,marco.player,Marco,Fernández,González,prueba14,2000-11-13,España,2,183,74.5
15,endika.player,Endika,Fernández,Olabarrieta,prueba15,2001-10-23,España,3,182,71.0
16,aitor.player,Aitor,Peral,Gallastegui,prueba16,1999-03-17,España,4,174,69.7
